task,model,privacy_mechanism,epsilon,delta,seed,metric,value
high_cost,svm,none,inf,,1,threshold,0.5700520854271354
high_cost,svm,none,inf,,1,demographic_parity_difference,0.022064969075611562
high_cost,svm,none,inf,,1,equalized_odds_difference,0.10843141038008874
high_cost,svm,none,inf,,1,tpr_group_female,0.9577464788732394
high_cost,svm,none,inf,,1,tpr_group_male,0.8493150684931506
high_cost,svm,none,inf,,1,fpr_group_female,0.045454545454545456
high_cost,svm,none,inf,,1,fpr_group_male,0.05172413793103448
high_cost,svm,none,inf,,1,group_size_female,137.0
high_cost,svm,none,inf,,1,group_size_male,131.0
high_cost,gradient_boosting,none,inf,,1,roc_auc,0.9497087813620073
high_cost,gradient_boosting,none,inf,,1,pr_auc,0.9714997521470412
high_cost,gradient_boosting,none,inf,,1,accuracy,0.9440298507462687
high_cost,gradient_boosting,none,inf,,1,precision,0.9923664122137404
high_cost,gradient_boosting,none,inf,,1,recall,0.9027777777777778
high_cost,gradient_boosting,none,inf,,1,f1,0.9454545454545454
high_cost,gradient_boosting,none,inf,,1,macro_f1,0.9439916405433646
high_cost,gradient_boosting,none,inf,,1,brier,0.058097962065391556
high_cost,gradient_boosting,none,inf,,1,ece,0.06627380233900561
high_cost,gradient_boosting,none,inf,,1,threshold,0.7170957286432161
high_cost,gradient_boosting,none,inf,,1,demographic_parity_difference,0.015434334429152485
high_cost,gradient_boosting,none,inf,,1,equalized_odds_difference,0.10843141038008874
high_cost,gradient_boosting,none,inf,,1,tpr_group_female,0.9577464788732394
high_cost,gradient_boosting,none,inf,,1,tpr_group_male,0.8493150684931506
high_cost,gradient_boosting,none,inf,,1,fpr_group_female,0.0
high_cost,gradient_boosting,none,inf,,1,fpr_group_male,0.017241379310344827
high_cost,gradient_boosting,none,inf,,1,group_size_female,137.0
high_cost,gradient_boosting,none,inf,,1,group_size_male,131.0
high_cost,neural,none,inf,,1,roc_auc,0.9470766129032258
high_cost,neural,none,inf,,1,pr_auc,0.970878932994625
high_cost,neural,none,inf,,1,accuracy,0.9477611940298507
high_cost,neural,none,inf,,1,precision,0.9924242424242424
high_cost,neural,none,inf,,1,recall,0.9097222222222222
high_cost,neural,none,inf,,1,f1,0.9492753623188406
high_cost,neural,none,inf,,1,macro_f1,0.9477146042363433
high_cost,neural,none,inf,,1,brier,0.059543851763010025
high_cost,neural,none,inf,,1,ece,0.06695709517920637
high_cost,neural,none,inf,,1,threshold,0.6526219844818115
high_cost,neural,none,inf,,1,demographic_parity_difference,0.022733604502145233
high_cost,neural,none,inf,,1,equalized_odds_difference,0.09473278024310239
high_cost,neural,none,inf,,1,tpr_group_female,0.9577464788732394
high_cost,neural,none,inf,,1,tpr_group_male,0.863013698630137
high_cost,neural,none,inf,,1,fpr_group_female,0.015151515151515152
high_cost,neural,none,inf,,1,fpr_group_male,0.0
high_cost,neural,none,inf,,1,group_size_female,137.0
high_cost,neural,none,inf,,1,group_size_male,131.0
high_cost,neural,none,inf,,1,mia_loss_threshold_auc,0.4953532570790906
high_cost,neural,none,inf,,1,mia_tpr_at_fpr_0.01,0.002336448598130841
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,roc_auc,0.934475806451613
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,pr_auc,0.9595384040696775
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,accuracy,0.8805970149253731
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,precision,0.8835616438356164
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,recall,0.8958333333333334
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,f1,0.8896551724137931
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,macro_f1,0.8797869358003925
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,brier,0.09045873582363129
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,ece,0.07490678338803969
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,threshold,0.2718454867451635
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,demographic_parity_difference,0.020393380509277304
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,equalized_odds_difference,0.09434690333783524
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,tpr_group_female,0.9436619718309859
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,tpr_group_male,0.8493150684931506
high_cost,dpsgd,dpsgd,0.4926042171759174,1e-05,1,fpr_group_female,0.13636363636363635
