task,model,privacy_mechanism,epsilon,delta,metric,mean,std,ci_lower,ci_upper,n_runs,method
high_cost,logistic,none,inf,,accuracy,0.917910447761194,0.015156788068350668,0.8990908096883187,0.9367300858340694,5,repeated_seed_t
high_cost,logistic,none,inf,,brier,0.08183971626976953,0.012657203196237612,0.06612372274305167,0.0975557097964874,5,repeated_seed_t
high_cost,logistic,none,inf,,demographic_parity_difference,0.05433013966270054,0.02549763039069237,0.022670649967071646,0.08598962935832943,5,repeated_seed_t
high_cost,logistic,none,inf,,ece,0.10984061612991872,0.013904909454516131,0.0925753906619629,0.12710584159787452,5,repeated_seed_t
high_cost,logistic,none,inf,,equalized_odds_difference,0.0955436062004905,0.03992995370106298,0.04596402023993745,0.14512319216104355,5,repeated_seed_t
high_cost,logistic,none,inf,,f1,0.9132513509653414,0.01463194449699735,0.8950833922597041,0.9314193096709786,5,repeated_seed_t
high_cost,logistic,none,inf,,fpr_group_female,0.04277026692229409,0.04085793935638102,-0.007961565417316893,0.09350209926190507,5,repeated_seed_t
high_cost,logistic,none,inf,,fpr_group_male,0.037069214310593616,0.028591799313523146,0.0015678064591248264,0.0725706221620624,5,repeated_seed_t
high_cost,logistic,none,inf,,group_size_female,130.4,7.602631123499284,120.96008664232751,139.83991335767251,5,repeated_seed_t
high_cost,logistic,none,inf,,group_size_male,137.6,7.602631123499284,128.16008664232749,147.0399133576725,5,repeated_seed_t
high_cost,logistic,none,inf,,macro_f1,0.9172308825001474,0.014928912367272255,0.8986941894813665,0.9357675755189283,5,repeated_seed_t
high_cost,logistic,none,inf,,pr_auc,0.9639551412713085,0.010305261125426521,0.9511594695397776,0.9767508130028395,5,repeated_seed_t
high_cost,logistic,none,inf,,precision,0.9593768147502905,0.02688413520754696,0.9259957519402371,0.9927578775603438,5,repeated_seed_t
high_cost,logistic,none,inf,,recall,0.8725197625457882,0.03310048479775169,0.831420082249329,0.9136194428422475,5,repeated_seed_t
high_cost,logistic,none,inf,,roc_auc,0.9444832731300024,0.014396073879365688,0.9266081864785124,0.9623583597814923,5,repeated_seed_t
high_cost,logistic,none,inf,,threshold,0.6009467447236181,0.052735984514186166,0.535466371342522,0.6664271181047142,5,repeated_seed_t
high_cost,logistic,none,inf,,tpr_group_female,0.8907887882223446,0.07895611137578681,0.7927518272888635,0.9888257491558258,5,repeated_seed_t
high_cost,logistic,none,inf,,tpr_group_male,0.8526760838428327,0.04136376972935672,0.8013161801398998,0.9040359875457655,5,repeated_seed_t
high_cost,neural,none,inf,,accuracy,0.9477611940298509,0.009139887099937212,0.9364125252702119,0.95910986278949,5,repeated_seed_t
high_cost,neural,none,inf,,brier,0.05266476720571518,0.009990750241386988,0.04025961231593939,0.06506992209549098,5,repeated_seed_t
high_cost,neural,none,inf,,demographic_parity_difference,0.037548485540946544,0.03471500181745032,-0.005555882413359754,0.08065285349525284,5,repeated_seed_t
high_cost,neural,none,inf,,ece,0.040293146814080645,0.01565814979569068,0.020850985934289905,0.059735307693871385,5,repeated_seed_t
high_cost,neural,none,inf,,equalized_odds_difference,0.06714630577090977,0.025973126047848686,0.034896410236487645,0.09939620130533189,5,repeated_seed_t
high_cost,neural,none,inf,,f1,0.9447928383550572,0.00949221036695698,0.9330067024790302,0.9565789742310843,5,repeated_seed_t
high_cost,neural,none,inf,,fpr_group_female,0.012191344496069666,0.012452117013017508,-0.0032700009004147657,0.027652689892554098,5,repeated_seed_t
high_cost,neural,none,inf,,fpr_group_male,0.005613627564847077,0.00779598550739538,-0.004066366970204072,0.015293622099898225,5,repeated_seed_t
high_cost,neural,none,inf,,group_size_female,130.4,7.602631123499284,120.96008664232751,139.83991335767251,5,repeated_seed_t
high_cost,neural,none,inf,,group_size_male,137.6,7.602631123499284,128.16008664232749,147.0399133576725,5,repeated_seed_t
high_cost,neural,none,inf,,macro_f1,0.9474639093009822,0.009063568017763346,0.9362100031980545,0.95871781540391,5,repeated_seed_t
high_cost,neural,none,inf,,mia_loss_threshold_auc,0.505605733017157,0.011742632910402735,0.4910253284881873,0.5201861375461269,5,repeated_seed_t
high_cost,neural,none,inf,,mia_tpr_at_fpr_0.01,0.009813084112149532,0.007687235456243972,0.00026812060041590466,0.01935804762388316,5,repeated_seed_t
high_cost,neural,none,inf,,pr_auc,0.9700037807490738,0.007570715002052825,0.9606034964903637,0.9794040650077839,5,repeated_seed_t
high_cost,neural,none,inf,,precision,0.9899504453618014,0.004298816426508627,0.9846127597701188,0.9952881309534841,5,repeated_seed_t
high_cost,neural,none,inf,,recall,0.9036963250022116,0.016623208302948653,0.8830558857177984,0.9243367642866249,5,repeated_seed_t
high_cost,neural,none,inf,,roc_auc,0.9517276724472901,0.012301212809520163,0.9364536993674659,0.9670016455271142,5,repeated_seed_t
high_cost,neural,none,inf,,threshold,0.6003029968271303,0.036014690871282236,0.5555848517658214,0.6450211418884392,5,repeated_seed_t
